nm_mun;ano;pop_total;pop_mulher;pop_mulher_per;pop_homem;pop_homem_per;cres_pop;cor_raca_pri;porte
Patis (MG);2022;4.837;2.389;49,39%;2.448;50,61%;-13,3%;parda;baixo
Pavão (MG);2022;8.047;4.030;50,08%;4.017;49,92%;-6,3%;parda;baixo
Pedra Azul (MG);2022;24.410;12.422;50,89%;11.988;49,11%;2,4%;parda;baixo
Pedras de Maria da Cruz (MG);2022;10.433;5.068;48,58%;5.365;51,42%;1,1%;parda;baixo
Pescador (MG);2022;3.570;1.805;50,56%;1.765;49,44%;-13,5%;parda;baixo
Pintópolis (MG);2022;7.084;3.477;49,08%;3.607;50,92%;-1,8%;parda;baixo
Pirapora (MG);2022;55.606;28.495;51,24%;27.111;48,76%;4,2%;parda;médio
Ponto Chique (MG);2022;3.747;1.834;48,95%;1.913;51,05%;-5,5%;parda;baixo
Ponto dos Volantes (MG);2022;10.883;5.324;48,92%;5.559;51,08%;-4,1%;parda;baixo
Porteirinha (MG);2022;37.438;18.959;50,64%;18.479;49,36%;-0,5%;parda;baixo
Poté (MG);2022;13.666;7.038;51,5%;6.628;48,5%;-12,8%;parda;baixo
Riachinho (MG);2022;6.863;3.358;48,93%;3.505;51,07%;-14,3%;parda;baixo
Riacho dos Machados (MG);2022;8.756;4.339;49,55%;4.417;50,45%;-6,5%;parda;baixo
Rio do Prado (MG);2022;4.639;2.224;47,94%;2.415;52,06%;-11,1%;parda;baixo
Rio Pardo de Minas (MG);2022;28.271;13.920;49,24%;14.351;50,76%;-2,8%;parda;baixo
Rio Vermelho (MG);2022;12.641;6.322;50,01%;6.319;49,99%;-7,4%;parda;baixo
Rubelita (MG);2022;5.679;2.748;48,39%;2.931;51,61%;-26,9%;parda;baixo
Rubim (MG);2022;10.298;5.142;49,93%;5.156;50,07%;3,8%;parda;baixo
Salinas (MG);2022;40.178;20.509;51,05%;19.669;48,95%;2,6%;parda;baixo
Salto da Divisa (MG);2022;6.110;3.053;49,97%;3.057;50,03%;-10,9%;parda;baixo
Santa Cruz de Salinas (MG);2022;3.910;1.927;49,28%;1.983;50,72%;-11,1%;parda;baixo
Santa Fé de Minas (MG);2022;3.522;1.671;47,44%;1.851;52,56%;-11,2%;parda;baixo
Santa Helena de Minas (MG);2022;5.938;2.999;50,51%;2.939;49,49%;-1,9%;parda;baixo
Santa Maria do Salto (MG);2022;4.755;2.354;49,51%;2.401;50,49%;-10%;parda;baixo
Santo Antônio do Jacinto (MG);2022;10.327;5.103;49,41%;5.224;50,59%;-12,3%;parda;baixo
Santo Antônio do Retiro (MG);2022;6.629;3.315;50,01%;3.314;49,99%;-4,7%;parda;baixo
São Francisco (MG);2022;52.762;26.197;49,65%;26.565;50,35%;-2%;parda;médio
São João da Lagoa (MG);2022;4.822;2.319;48,09%;2.503;51,91%;3,6%;parda;baixo
São João da Ponte (MG);2022;23.930;11.610;48,52%;12.320;51,48%;-5,6%;parda;baixo
São João das Missões (MG);2022;13.024;6.411;49,22%;6.613;50,78%;11,2%;indigena;baixo
São João do Pacuí (MG);2022;3.972;1.927;48,51%;2.045;51,49%;-2,2%;parda;baixo
São João do Paraíso (MG);2022;23.910;12.058;50,43%;11.852;49,57%;7,1%;parda;baixo
São Romão (MG);2022;10.315;5.047;48,93%;5.268;51,07%;0,4%;parda;baixo
Setubinha (MG);2022;9.917;4.999;50,41%;4.918;49,59%;-8,9%;parda;baixo
Senador Modestino Gonçalves (MG);2022;4.008;1.999;49,88%;2.009;50,12%;-12,4%;parda;baixo
Serra dos Aimorés (MG);2022;6.944;3.552;51,15%;3.392;48,85%;-17,5%;parda;baixo
Serranópolis de Minas (MG);2022;4.399;2.206;50,15%;2.193;49,85%;-0,6%;parda;baixo
Serro (MG);2022;21.952;10.970;49,97%;10.982;50,03%;5,4%;parda;baixo
Taiobeiras (MG);2022;33.050;16.917;51,19%;16.133;48,81%;6,9%;parda;baixo
Teófilo Otoni (MG);2022;137.418;71.753;52,22%;65.665;47,78%;2%;parda;grande
Turmalina (MG);2022;20.000;9.971;49,86%;10.029;50,15%;10,8%;parda;baixo
Ubaí (MG);2022;11.708;5.800;49,54%;5.908;50,46%;0,2%;parda;baixo
Umburatiba (MG);2022;2.684;1.297;48,32%;1.387;51,68%;-0,8%;parda;baixo
Urucuia (MG);2022;17.479;8.527;48,78%;8.952;51,22%;28,5%;parda;baixo
Vargem Grande do Rio Pardo (MG);2022;4.633;2.248;48,52%;2.385;51,48%;-2,1%;parda;baixo
Várzea da Palma (MG);2022;33.744;16.933;50,18%;16.811;49,82%;-5,8%;parda;baixo
Varzelândia (MG);2022;18.840;9.305;49,39%;9.535;50,61%;-1,4%;parda;baixo
Verdelândia (MG);2022;7.672;3.762;49,04%;3.910;50,96%;-8,1%;parda;baixo
Veredinha (MG);2022;5.181;2.545;49,12%;2.636;50,88%;-6,6%;parda;baixo
Virgem da Lapa (MG);2022;11.804;5.973;50,6%;5.831;49,4%;-13,3%;parda;baixo
Água Branca (PB);2022;9.335;4.714;50,5%;4.621;49,5%;-1,2%;parda;baixo
Aguiar (PB);2022;5.003;2.505;50,07%;2.498;49,93%;-9,5%;parda;baixo
Alagoa Grande (PB);2022;26.062;13.419;51,49%;12.643;48,51%;-8,5%;parda;baixo
Alagoa Nova (PB);2022;21.013;10.652;50,69%;10.361;49,31%;6,8%;parda;baixo
Alagoinha (PB);2022;13.725;6.989;50,92%;6.736;49,08%;1,1%;parda;baixo
Alcantil (PB);2022;5.578;2.786;49,95%;2.792;50,05%;6,5%;parda;baixo
Algodão de Jandaíra (PB);2022;2.953;1.441;48,8%;1.512;51,2%;24,8%;parda;baixo
Alhandra (PB);2022;21.730;11.133;51,23%;10.597;48,77%;20,7%;parda;baixo
São João do Rio do Peixe (PB);2022;17.964;9.059;50,43%;8.905;49,57%;-1,3%;parda;baixo
Amparo (PB);2022;2.234;1.100;49,24%;1.134;50,76%;7%;parda;baixo
Aparecida (PB);2022;7.960;3.987;50,09%;3.973;49,91%;3,7%;parda;baixo
Araçagi (PB);2022;16.646;8.429;50,64%;8.217;49,36%;-3,4%;parda;baixo
Arara (PB);2022;12.212;6.363;52,1%;5.849;47,9%;-3,5%;parda;baixo
Araruna (PB);2022;17.189;8.814;51,28%;8.375;48,72%;-9%;parda;baixo
Areia (PB);2022;22.633;11.609;51,29%;11.024;48,71%;-5%;parda;baixo
Areia de Baraúnas (PB);2022;2.005;983;49,03%;1.022;50,97%;4%;parda;baixo
Areial (PB);2022;7.128;3.687;51,73%;3.441;48,27%;10,2%;parda;baixo
Aroeiras (PB);2022;18.705;9.438;50,46%;9.267;49,54%;-2%;parda;baixo
Assunção (PB);2022;4.152;2.090;50,34%;2.062;49,66%;17,9%;parda;baixo
Baía da Traição (PB);2022;9.224;4.640;50,3%;4.584;49,7%;15,1%;indigena;baixo
Bananeiras (PB);2022;23.134;11.573;50,03%;11.561;49,97%;5,9%;parda;baixo
Baraúna (PB);2022;4.762;2.425;50,92%;2.337;49,08%;12,8%;parda;baixo
Barra de Santana (PB);2022;8.059;3.960;49,14%;4.099;50,86%;-1,8%;parda;baixo
Barra de Santa Rosa (PB);2022;12.904;6.352;49,23%;6.552;50,77%;-8,9%;parda;baixo
Barra de São Miguel (PB);2022;5.906;2.890;48,93%;3.016;51,07%;5,3%;parda;baixo
Bayeux (PB);2022;82.742;43.447;52,51%;39.295;47,49%;-17%;parda;médio
Belém (PB);2022;16.401;8.302;50,62%;8.099;49,38%;-4%;parda;baixo
Belém do Brejo do Cruz (PB);2022;6.268;3.165;50,49%;3.103;49,51%;-12,2%;parda;baixo
Bernardino Batista (PB);2022;3.504;1.783;50,88%;1.721;49,12%;14%;parda;baixo
Boa Ventura (PB);2022;5.207;2.599;49,91%;2.608;50,09%;-9,5%;parda;baixo
Boa Vista (PB);2022;6.377;3.206;50,27%;3.171;49,73%;2,4%;parda;baixo
Bom Jesus (PB);2022;2.286;1.121;49,04%;1.165;50,96%;-4,8%;parda;baixo
Bom Sucesso (PB);2022;4.661;2.351;50,44%;2.310;49,56%;-7,4%;parda;baixo
Bonito de Santa Fé (PB);2022;10.252;5.143;50,17%;5.109;49,83%;-5,1%;parda;baixo
Boqueirão (PB);2022;17.598;8.908;50,62%;8.690;49,38%;4,2%;parda;baixo
Igaracy (PB);2022;5.648;2.843;50,34%;2.805;49,66%;-8,3%;parda;baixo
Borborema (PB);2022;4.214;2.103;49,91%;2.111;50,09%;-17,6%;parda;baixo
Brejo do Cruz (PB);2022;13.613;6.997;51,4%;6.616;48,6%;3,7%;parda;baixo
Brejo dos Santos (PB);2022;5.742;2.936;51,13%;2.806;48,87%;-7,4%;parda;baixo
Caaporã (PB);2022;21.193;10.917;51,51%;10.276;48,49%;4,1%;parda;baixo
Cabaceiras (PB);2022;5.335;2.677;50,18%;2.658;49,82%;6%;parda;baixo
Cabedelo (PB);2022;66.519;34.889;52,45%;31.630;47,55%;14,8%;parda;médio
Cachoeira dos Índios (PB);2022;9.151;4.593;50,19%;4.558;49,81%;-4,1%;parda;baixo
Cacimba de Areia (PB);2022;3.291;1.640;49,83%;1.651;50,17%;-7,5%;parda;baixo
Cacimba de Dentro (PB);2022;16.064;8.208;51,1%;7.856;48,9%;-4,1%;parda;baixo
Cacimbas (PB);2022;7.223;3.730;51,64%;3.493;48,36%;6%;parda;baixo
Caiçara (PB);2022;6.602;3.305;50,06%;3.297;49,94%;-8,6%;parda;baixo
Cajazeiras (PB);2022;63.239;32.718;51,74%;30.521;48,26%;8,2%;parda;médio
Cajazeirinhas (PB);2022;2.740;1.357;49,53%;1.383;50,47%;-9,7%;parda;baixo
Caldas Brandão (PB);2022;5.753;2.964;51,52%;2.789;48,48%;2,1%;parda;baixo
Camalaú (PB);2022;6.085;3.119;51,26%;2.966;48,74%;5,8%;parda;baixo
Campina Grande (PB);2022;419.379;220.966;52,69%;198.413;47,31%;8,9%;parda;grande
Capim (PB);2022;6.970;3.531;50,66%;3.439;49,34%;24,4%;parda;baixo
Caraúbas (PB);2022;3.944;1.955;49,57%;1.989;50,43%;1,2%;parda;baixo
Carrapateira (PB);2022;2.312;1.101;47,62%;1.211;52,38%;-2,8%;branca;baixo
Casserengue (PB);2022;6.889;3.450;50,08%;3.439;49,92%;-2,4%;parda;baixo
Catingueira (PB);2022;4.491;2.255;50,21%;2.236;49,79%;-6,7%;parda;baixo
Catolé do Rocha (PB);2022;30.661;15.741;51,34%;14.920;48,66%;6,6%;parda;baixo
Caturité (PB);2022;5.254;2.659;50,61%;2.595;49,39%;15,7%;parda;baixo
Conceição (PB);2022;18.260;9.078;49,72%;9.182;50,28%;-0,6%;parda;baixo
Condado (PB);2022;6.451;3.298;51,12%;3.153;48,88%;-2%;parda;baixo
Conde (PB);2022;27.605;13.993;50,69%;13.612;49,31%;29%;parda;baixo
Congo (PB);2022;4.933;2.522;51,13%;2.411;48,87%;5,2%;parda;baixo
Coremas (PB);2022;14.683;7.408;50,45%;7.275;49,55%;-3,1%;parda;baixo
Coxixola (PB);2022;1.824;879;48,19%;945;51,81%;3%;branca;baixo
Cruz do Espírito Santo (PB);2022;17.095;8.606;50,34%;8.489;49,66%;5,2%;parda;baixo
Cubati (PB);2022;7.580;3.811;50,28%;3.769;49,72%;10,4%;parda;baixo
Cuité (PB);2022;19.719;10.128;51,36%;9.591;48,64%;-1,3%;parda;baixo
Cuitegi (PB);2022;6.730;3.404;50,58%;3.326;49,42%;-2,3%;parda;baixo
Cuité de Mamanguape (PB);2022;6.251;3.114;49,82%;3.137;50,18%;0,8%;parda;baixo
Curral de Cima (PB);2022;5.254;2.606;49,6%;2.648;50,4%;0,9%;parda;baixo
Curral Velho (PB);2022;2.292;1.097;47,86%;1.195;52,14%;-8,5%;parda;baixo
Damião (PB);2022;4.982;2.481;49,8%;2.501;50,2%;1,7%;parda;baixo
Desterro (PB);2022;8.067;4.157;51,53%;3.910;48,47%;1%;parda;baixo
Vista Serrana (PB);2022;3.641;1.807;49,63%;1.834;50,37%;3,7%;parda;baixo
Diamante (PB);2022;6.299;3.200;50,8%;3.099;49,2%;-4,8%;parda;baixo
Dona Inês (PB);2022;10.380;5.176;49,87%;5.204;50,13%;-1,3%;parda;baixo
Duas Estradas (PB);2022;3.327;1.699;51,07%;1.628;48,93%;-8,5%;parda;baixo
Emas (PB);2022;3.011;1.493;49,58%;1.518;50,42%;-9,2%;parda;baixo
Esperança (PB);2022;31.231;16.093;51,53%;15.138;48,47%;0,4%;parda;baixo
Fagundes (PB);2022;11.049;5.588;50,57%;5.461;49,43%;-3,1%;parda;baixo
Frei Martinho (PB);2022;2.846;1.425;50,07%;1.421;49,93%;-3%;parda;baixo
Gado Bravo (PB);2022;8.179;4.134;50,54%;4.045;49,46%;-2,4%;parda;baixo
Guarabira (PB);2022;57.484;29.746;51,75%;27.738;48,25%;3,9%;parda;médio
Gurinhém (PB);2022;13.766;6.916;50,24%;6.850;49,76%;-0,8%;parda;baixo
Gurjão (PB);2022;3.242;1.637;50,49%;1.605;49,51%;2,6%;parda;baixo
Ibiara (PB);2022;5.631;2.841;50,45%;2.790;49,55%;-6,6%;parda;baixo
Imaculada (PB);2022;10.392;5.151;49,57%;5.241;50,43%;-8,5%;parda;baixo
Ingá (PB);2022;17.692;9.019;50,98%;8.673;49,02%;-2,7%;parda;baixo
Itabaiana (PB);2022;23.182;12.056;52,01%;11.126;47,99%;-5,3%;parda;baixo
Itaporanga (PB);2022;23.940;12.205;50,98%;11.735;49,02%;3,2%;parda;baixo
Itapororoca (PB);2022;18.382;9.194;50,02%;9.188;49,98%;8,1%;parda;baixo
Itatuba (PB);2022;10.499;5.307;50,55%;5.192;49,45%;2,9%;parda;baixo
Jacaraú (PB);2022;14.477;7.416;51,23%;7.061;48,77%;3,8%;parda;baixo
Jericó (PB);2022;7.516;3.840;51,09%;3.676;48,91%;-0,3%;parda;baixo
João Pessoa (PB);2022;833.932;444.894;53,35%;389.038;46,65%;15,3%;parda;grande
Juarez Távora (PB);2022;7.796;4.001;51,32%;3.795;48,68%;4,5%;parda;baixo
Juazeirinho (PB);2022;17.007;8.630;50,74%;8.377;49,26%;1,4%;parda;baixo
Junco do Seridó (PB);2022;6.793;3.430;50,49%;3.363;49,51%;2,3%;parda;baixo
Juripiranga (PB);2022;10.012;5.107;51,01%;4.905;48,99%;-2,2%;parda;baixo
Juru (PB);2022;9.234;4.658;50,44%;4.576;49,56%;-6%;parda;baixo
Lagoa (PB);2022;4.415;2.247;50,89%;2.168;49,11%;-5,7%;parda;baixo
Lagoa de Dentro (PB);2022;7.819;3.939;50,38%;3.880;49,62%;6,1%;parda;baixo
Lagoa Seca (PB);2022;27.730;14.222;51,29%;13.508;48,71%;7,1%;parda;baixo
Lastro (PB);2022;3.162;1.537;48,61%;1.625;51,39%;11,3%;parda;baixo
Livramento (PB);2022;6.877;3.484;50,66%;3.393;49,34%;-4%;parda;baixo
Logradouro (PB);2022;4.797;2.422;50,49%;2.375;49,51%;21,7%;parda;baixo
Lucena (PB);2022;12.560;6.355;50,6%;6.205;49,4%;7,1%;parda;baixo
Mãe d'Água (PB);2022;3.583;1.831;51,1%;1.752;48,9%;-10,8%;parda;baixo
Malta (PB);2022;6.046;3.114;51,51%;2.932;48,49%;7,7%;parda;baixo
Mamanguape (PB);2022;44.599;22.854;51,24%;21.745;48,76%;5,4%;parda;baixo
Manaíra (PB);2022;10.434;5.211;49,94%;5.223;50,06%;-3%;parda;baixo
Marcação (PB);2022;8.999;4.465;49,62%;4.534;50,38%;18,3%;indigena;baixo
Mari (PB);2022;21.512;11.000;51,13%;10.512;48,87%;1,6%;parda;baixo
Marizópolis (PB);2022;6.705;3.429;51,14%;3.276;48,86%;8,6%;parda;baixo
Massaranduba (PB);2022;14.139;7.160;50,64%;6.979;49,36%;9,6%;parda;baixo
Mataraca (PB);2022;8.244;4.151;50,35%;4.093;49,65%;11,3%;parda;baixo
Matinhas (PB);2022;4.571;2.270;49,66%;2.301;50,34%;5,8%;parda;baixo
Mato Grosso (PB);2022;2.543;1.272;50,02%;1.271;49,98%;-5,9%;parda;baixo
Maturéia (PB);2022;6.433;3.352;52,11%;3.081;47,89%;8,3%;parda;baixo
Mogeiro (PB);2022;13.899;7.096;51,05%;6.803;48,95%;11,3%;parda;baixo
Montadas (PB);2022;5.812;2.949;50,74%;2.863;49,26%;16,5%;parda;baixo
Monte Horebe (PB);2022;4.338;2.198;50,67%;2.140;49,33%;-3,8%;parda;baixo
Monteiro (PB);2022;32.277;16.507;51,14%;15.770;48,86%;4,6%;parda;baixo
Mulungu (PB);2022;8.791;4.542;51,67%;4.249;48,33%;-7,2%;parda;baixo
Natuba (PB);2022;8.945;4.452;49,77%;4.493;50,23%;-15,3%;parda;baixo
Nazarezinho (PB);2022;7.203;3.539;49,13%;3.664;50,87%;-1,1%;parda;baixo
Nova Floresta (PB);2022;9.724;5.062;52,06%;4.662;47,94%;-7,7%;parda;baixo
Nova Olinda (PB);2022;5.787;2.881;49,78%;2.906;50,22%;-4,7%;parda;baixo
Nova Palmeira (PB);2022;4.259;2.137;50,18%;2.122;49,82%;-2,3%;parda;baixo
Olho d'Água (PB);2022;6.060;3.083;50,87%;2.977;49,13%;-12,6%;parda;baixo
Olivedos (PB);2022;3.580;1.772;49,5%;1.808;50,5%;-1,3%;parda;baixo
Ouro Velho (PB);2022;2.918;1.464;50,17%;1.454;49,83%;-0,3%;parda;baixo
Parari (PB);2022;1.720;856;49,77%;864;50,23%;36,9%;branca;baixo
Passagem (PB);2022;2.463;1.248;50,67%;1.215;49,33%;10,3%;parda;baixo
Patos (PB);2022;103.165;54.610;52,93%;48.555;47,07%;2,5%;parda;grande
Paulista (PB);2022;11.834;6.010;50,79%;5.824;49,21%;0,4%;parda;baixo
Pedra Branca (PB);2022;3.739;1.912;51,14%;1.827;48,86%;0,5%;parda;baixo
Pedra Lavrada (PB);2022;6.859;3.439;50,14%;3.420;49,86%;-8,2%;parda;baixo
Pedras de Fogo (PB);2022;29.662;15.034;50,68%;14.628;49,32%;9,7%;parda;baixo
Piancó (PB);2022;16.441;8.482;51,59%;7.959;48,41%;6,3%;parda;baixo
Picuí (PB);2022;18.333;9.408;51,32%;8.925;48,68%;0,6%;parda;baixo
Pilar (PB);2022;12.311;6.247;50,74%;6.064;49,26%;10%;parda;baixo
Pilões (PB);2022;6.815;3.448;50,59%;3.367;49,41%;-2,3%;parda;baixo
Pilõezinhos (PB);2022;5.329;2.728;51,19%;2.601;48,81%;3,4%;parda;baixo
Pirpirituba (PB);2022;9.340;4.693;50,25%;4.647;49,75%;-9,5%;parda;baixo
Pitimbu (PB);2022;16.751;8.539;50,98%;8.212;49,02%;-1,6%;parda;baixo
Pocinhos (PB);2022;17.469;8.756;50,12%;8.713;49,88%;2,6%;parda;baixo
Poço Dantas (PB);2022;3.830;1.937;50,57%;1.893;49,43%;2,1%;parda;baixo
Poço de José de Moura (PB);2022;4.006;2.064;51,52%;1.942;48,48%;0,7%;parda;baixo
Pombal (PB);2022;32.473;17.024;52,43%;15.449;47,57%;1,1%;parda;baixo
Prata (PB);2022;3.915;1.943;49,63%;1.972;50,37%;1,6%;parda;baixo
Princesa Isabel (PB);2022;21.114;10.771;51,01%;10.343;48,99%;-0,8%;parda;baixo
Puxinanã (PB);2022;14.277;7.175;50,26%;7.102;49,74%;10,5%;parda;baixo
Queimadas (PB);2022;47.658;24.146;50,67%;23.512;49,33%;16,1%;parda;baixo
Quixaba (PB);2022;1.743;848;48,65%;895;51,35%;2,6%;parda;baixo
Remígio (PB);2022;17.885;9.410;52,61%;8.475;47,39%;1,7%;parda;baixo
Pedro Régis (PB);2022;5.766;2.840;49,25%;2.926;50,75%;0%;parda;baixo
Riachão (PB);2022;2.927;1.465;50,05%;1.462;49,95%;-10,4%;parda;baixo
Riachão do Bacamarte (PB);2022;4.690;2.393;51,02%;2.297;48,98%;10%;parda;baixo
Riachão do Poço (PB);2022;4.738;2.405;50,76%;2.333;49,24%;13,8%;parda;baixo
Riacho de Santo Antônio (PB);2022;1.955;963;49,26%;992;50,74%;13,5%;parda;baixo
Riacho dos Cavalos (PB);2022;8.493;4.212;49,59%;4.281;50,41%;2,2%;parda;baixo
Rio Tinto (PB);2022;24.581;12.663;51,52%;11.918;48,48%;7%;parda;baixo
Salgadinho (PB);2022;3.355;1.632;48,64%;1.723;51,36%;-4,4%;parda;baixo
Salgado de São Félix (PB);2022;11.505;5.853;50,87%;5.652;49,13%;-3,9%;parda;baixo
Santa Cecília (PB);2022;7.670;3.790;49,41%;3.880;50,59%;15,2%;parda;baixo
Santa Cruz (PB);2022;5.947;2.964;49,84%;2.983;50,16%;-8,1%;parda;baixo
Santa Helena (PB);2022;5.865;2.914;49,68%;2.951;50,32%;9,2%;parda;baixo
Santa Inês (PB);2022;3.227;1.544;47,85%;1.683;52,15%;-8,8%;parda;baixo
Santa Luzia (PB);2022;14.959;7.664;51,23%;7.295;48,77%;1,6%;parda;baixo
Santana de Mangueira (PB);2022;5.010;2.490;49,7%;2.520;50,3%;-6%;parda;baixo
Santana dos Garrotes (PB);2022;6.569;3.378;51,42%;3.191;48,58%;-9,6%;parda;baixo
Joca Claudino (PB);2022;2.539;1.295;51%;1.244;49%;-2,9%;parda;baixo
Santa Rita (PB);2022;149.910;77.832;51,92%;72.078;48,08%;24,6%;parda;grande
Santa Teresinha (PB);2022;4.402;2.224;50,52%;2.178;49,48%;-3,9%;parda;baixo
Santo André (PB);2022;2.622;1.316;50,19%;1.306;49,81%;-0,6%;parda;baixo
São Bento (PB);2022;32.235;16.690;51,78%;15.545;48,22%;4,4%;parda;baixo
São Bentinho (PB);2022;4.327;2.194;50,7%;2.133;49,3%;4,6%;parda;baixo
São Domingos do Cariri (PB);2022;2.585;1.328;51,37%;1.257;48,63%;6,8%;parda;baixo
São Domingos (PB);2022;2.595;1.299;50,06%;1.296;49,94%;-9,1%;parda;baixo
São Francisco (PB);2022;3.137;1.573;50,14%;1.564;49,86%;-6,7%;parda;baixo
São João do Cariri (PB);2022;4.226;2.160;51,11%;2.066;48,89%;-2,7%;parda;baixo
São João do Tigre (PB);2022;4.263;2.098;49,21%;2.165;50,79%;-3%;parda;baixo
São José da Lagoa Tapada (PB);2022;7.126;3.605;50,59%;3.521;49,41%;-5,8%;parda;baixo
São José de Caiana (PB);2022;5.034;2.486;49,38%;2.548;50,62%;-16,2%;parda;baixo
São José de Espinharas (PB);2022;4.083;1.977;48,42%;2.106;51,58%;-14,2%;parda;baixo
São José dos Ramos (PB);2022;5.891;2.914;49,47%;2.977;50,53%;7%;parda;baixo
São José de Piranhas (PB);2022;19.067;9.517;49,91%;9.550;50,09%;-0,2%;parda;baixo
São José de Princesa (PB);2022;3.416;1.632;47,78%;1.784;52,22%;-19%;parda;baixo
São José do Bonfim (PB);2022;3.242;1.642;50,65%;1.600;49,35%;0,3%;parda;baixo
São José do Brejo do Cruz (PB);2022;1.699;852;50,15%;847;49,85%;0,9%;parda;baixo
São José do Sabugi (PB);2022;4.138;2.041;49,32%;2.097;50,68%;3,2%;parda;baixo
São José dos Cordeiros (PB);2022;3.411;1.703;49,93%;1.708;50,07%;-14,4%;parda;baixo
São Mamede (PB);2022;7.470;3.833;51,31%;3.637;48,69%;-3,6%;parda;baixo
São Miguel de Taipu (PB);2022;7.066;3.559;50,37%;3.507;49,63%;5,5%;parda;baixo
São Sebastião de Lagoa de Roça (PB);2022;11.040;5.643;51,11%;5.397;48,89%;0%;parda;baixo
São Sebastião do Umbuzeiro (PB);2022;3.279;1.608;49,04%;1.671;50,96%;1,4%;parda;baixo
Sapé (PB);2022;51.306;26.261;51,19%;25.045;48,81%;2,3%;parda;médio
São Vicente do Seridó (PB);2022;10.291;5.143;49,98%;5.148;50,02%;0,6%;parda;baixo
Serra Branca (PB);2022;13.614;6.946;51,02%;6.668;48,98%;4,9%;parda;baixo
Serra da Raiz (PB);2022;3.094;1.572;50,81%;1.522;49,19%;-3,4%;parda;baixo
Serra Grande (PB);2022;2.942;1.505;51,16%;1.437;48,84%;-1,1%;parda;baixo
Serra Redonda (PB);2022;6.828;3.507;51,36%;3.321;48,64%;-3,1%;parda;baixo
Serraria (PB);2022;4.885;2.489;50,95%;2.396;49,05%;-21,7%;parda;baixo
Sertãozinho (PB);2022;5.054;2.600;51,44%;2.454;48,56%;15%;parda;baixo
Sobrado (PB);2022;8.236;4.191;50,89%;4.045;49,11%;11,7%;parda;baixo
Solânea (PB);2022;26.774;13.900;51,92%;12.874;48,08%;0,3%;parda;baixo
Soledade (PB);2022;13.968;7.043;50,42%;6.925;49,58%;1,7%;parda;baixo
Sossêgo (PB);2022;3.345;1.683;50,31%;1.662;49,69%;5,6%;parda;baixo
Sousa (PB);2022;67.259;34.824;51,78%;32.435;48,22%;2,2%;parda;médio
Sumé (PB);2022;17.166;8.775;51,12%;8.391;48,88%;6,9%;parda;baixo
Tacima (PB);2022;8.010;4.010;50,06%;4.000;49,94%;-21,9%;parda;baixo
Taperoá (PB);2022;14.068;7.167;50,95%;6.901;49,05%;-5,8%;parda;baixo
Tavares (PB);2022;14.101;7.118;50,48%;6.983;49,52%;0%;parda;baixo
Teixeira (PB);2022;14.631;7.535;51,5%;7.096;48,5%;3,4%;parda;baixo
Tenório (PB);2022;2.966;1.465;49,39%;1.501;50,61%;5,4%;parda;baixo
Triunfo (PB);2022;9.892;4.911;49,65%;4.981;50,35%;7,3%;parda;baixo
Uiraúna (PB);2022;14.930;7.720;51,71%;7.210;48,29%;2,4%;parda;baixo
Umbuzeiro (PB);2022;9.124;4.695;51,46%;4.429;48,54%;-1,9%;parda;baixo
Várzea (PB);2022;2.668;1.340;50,22%;1.328;49,78%;6,5%;branca;baixo
Vieirópolis (PB);2022;4.864;2.418;49,71%;2.446;50,29%;-3,6%;parda;baixo
Zabelê (PB);2022;2.228;1.136;50,99%;1.092;49,01%;7,4%;parda;baixo
Abreu e Lima (PE);2022;98.462;51.508;52,31%;46.954;47,69%;4,3%;parda;médio
Afogados da Ingazeira (PE);2022;40.241;20.788;51,66%;19.453;48,34%;14,7%;parda;baixo
Afrânio (PE);2022;18.674;9.371;50,18%;9.303;49,82%;6,2%;branca;baixo
Agrestina (PE);2022;23.779;12.341;51,9%;11.438;48,1%;4,9%;parda;baixo
Água Preta (PE);2022;26.461;13.665;51,64%;12.796;48,36%;-20%;parda;baixo
Águas Belas (PE);2022;41.548;21.337;51,36%;20.211;48,64%;3,3%;parda;baixo
Alagoinha (PE);2022;13.542;6.754;49,87%;6.788;50,13%;-1,6%;parda;baixo
Aliança (PE);2022;35.741;18.411;51,51%;17.330;48,49%;-4,5%;parda;baixo
Altinho (PE);2022;20.674;10.505;50,81%;10.169;49,19%;-7,5%;parda;baixo
Amaraji (PE);2022;18.205;9.278;50,96%;8.927;49,04%;-17%;parda;baixo
Angelim (PE);2022;10.241;5.225;51,02%;5.016;48,98%;0,4%;parda;baixo
Araçoiaba (PE);2022;19.243;9.921;51,56%;9.322;48,44%;6%;parda;baixo
Araripina (PE);2022;85.088;43.638;51,29%;41.450;48,71%;10,1%;parda;médio
Arcoverde (PE);2022;77.742;41.119;52,89%;36.623;47,11%;13%;parda;médio
Barra de Guabiraba (PE);2022;12.263;6.114;49,86%;6.149;50,14%;-4%;parda;baixo
Barreiros (PE);2022;40.121;20.952;52,22%;19.169;47,78%;-1,5%;parda;baixo
Belém de Maria (PE);2022;10.378;5.226;50,36%;5.152;49,64%;-8,6%;parda;baixo
Belém do São Francisco (PE);2022;18.301;9.257;50,58%;9.044;49,42%;-9,6%;parda;baixo
Belo Jardim (PE);2022;79.507;41.296;51,94%;38.211;48,06%;9,8%;parda;médio
Betânia (PE);2022;11.232;5.628;50,11%;5.604;49,89%;-6,4%;parda;baixo
