city;educacao.ensino_fundamental_incompleto;educacao.ensino_fundamental_completo;educacao.ensino_medio_completo;educacao.ensino_superior_completo;educacao.alfabetizados;educacao.analfabetos
Amarante do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Anajatuba (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Anapurus (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Apicum-Açu (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Araguanã (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Araioses (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Arame (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Arari (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Axixá (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bacabal (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bacabeira (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bacuri (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bacurituba (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Balsas (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barão de Grajaú (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barra do Corda (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barreirinhas (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Belágua (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bela Vista do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Benedito Leite (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bequimão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bernardo do Mearim (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Boa Vista do Gurupi (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bom Jardim (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bom Jesus das Selvas (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bom Lugar (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Brejo (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Brejo de Areia (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Buriti (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Buriti Bravo (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Buriticupu (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Buritirana (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cachoeira Grande (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cajapió (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cajari (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Campestre do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cândido Mendes (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cantanhede (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Capinzal do Norte (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Carolina (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Carutapera (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caxias (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cedral (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Central do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Centro do Guilherme (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Centro Novo do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Chapadinha (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cidelândia (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Codó (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Coelho Neto (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Colinas (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Conceição do Lago-Açu (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Coroatá (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cururupu (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Davinópolis (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Dom Pedro (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Duque Bacelar (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Esperantinópolis (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Estreito (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Feira Nova do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Fernando Falcão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Formosa da Serra Negra (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Fortaleza dos Nogueiras (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Fortuna (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Godofredo Viana (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Gonçalves Dias (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Governador Archer (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Governador Edison Lobão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Governador Eugênio Barros (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Governador Luiz Rocha (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Governador Newton Bello (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Governador Nunes Freire (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Graça Aranha (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Grajaú (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Guimarães (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Humberto de Campos (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Icatu (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Igarapé do Meio (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Igarapé Grande (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Imperatriz (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itaipava do Grajaú (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itapecuru Mirim (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itinga do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jatobá (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jenipapo dos Vieiras (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
João Lisboa (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Joselândia (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Junco do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lago da Pedra (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lago do Junco (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lago Verde (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa do Mato (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lago dos Rodrigues (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa Grande do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lajeado Novo (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lima Campos (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Loreto (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Luís Domingues (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Magalhães de Almeida (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Maracaçumé (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Marajá do Sena (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Maranhãozinho (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mata Roma (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Matinha (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Matões (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Matões do Norte (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Milagres do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mirador (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Miranda do Norte (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mirinzal (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Monção (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Montes Altos (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Morros (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nina Rodrigues (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nova Colinas (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nova Iorque (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nova Olinda do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Olho d'Água das Cunhãs (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Olinda Nova do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paço do Lumiar (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Palmeirândia (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paraibano (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Parnarama (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Passagem Franca (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pastos Bons (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paulino Neves (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paulo Ramos (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedreiras (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedro do Rosário (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Penalva (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Peri Mirim (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Peritoró (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pindaré-Mirim (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pinheiro (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pio XII (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pirapemas (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Poção de Pedras (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Porto Franco (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Porto Rico do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Presidente Dutra (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Presidente Juscelino (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Presidente Médici (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Presidente Sarney (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Presidente Vargas (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Primeira Cruz (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Raposa (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Riachão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ribamar Fiquene (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rosário (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sambaíba (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Filomena do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Helena (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Inês (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Luzia (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Luzia do Paruá (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Quitéria do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Rita (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santana do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santo Amaro do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santo Antônio dos Lopes (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Benedito do Rio Preto (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Bento (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Bernardo (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Domingos do Azeitão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Domingos do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Félix de Balsas (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Francisco do Brejão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Francisco do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João Batista (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João do Carú (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João do Paraíso (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João do Soter (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João dos Patos (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José de Ribamar (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José dos Basílios (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Luís (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Luís Gonzaga do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Mateus do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Pedro da Água Branca (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Pedro dos Crentes (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Raimundo das Mangabeiras (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Raimundo do Doca Bezerra (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Roberto (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Vicente Ferrer (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Satubinha (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Senador Alexandre Costa (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Senador La Rocque (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serrano do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sítio Novo (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sucupira do Norte (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sucupira do Riachão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tasso Fragoso (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Timbiras (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Timon (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Trizidela do Vale (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tufilândia (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tuntum (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Turiaçu (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Turilândia (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tutóia (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Urbano Santos (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Vargem Grande (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Viana (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Vila Nova dos Martírios (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Vitória do Mearim (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Vitorino Freire (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Zé Doca (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
AÇUCENA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
ÁGUA BOA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
AIMORÉS (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
ALPERCATA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
ALVARENGA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
BONFINÓPOLIS DE MINAS (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
BRAÚNAS (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
CANTAGALO (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
CAPITÃO ANDRADE (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
CARMÉSIA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
CENTRAL DE MINAS (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
COLUNA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
CONSELHEIRO PENA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
COROACI (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
CUPARAQUE (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
DIVINO DAS LARANJEIRAS (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
DIVINOLÂNDIA DE MINAS (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
DOM BOSCO (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
DORES DE GUANHÃES (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
ENGENHEIRO CALDAS (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
FERNANDES TOURINHO (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
FREI INOCÊNCIO (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
FREI LAGONEGRO (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
GALILÉIA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
GOIABEIRA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
GONZAGA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
GOVERNADOR VALADARES (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
GUANHÃES (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
IMBÉ DE MINAS (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
INHAPIM (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
ITABIRINHA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
ITANHOMI (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
ITUETA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
JAMPRUCA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
JOSÉ RAYDAN (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
MANTENA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
MARILAC (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
MATERLÂNDIA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
MENDES PIMENTEL (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
MUTUM (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
NACIP RAYDAN (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
NAQUE (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
NATALÂNDIA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
NOVA BELÉM (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
NOVA MÓDICA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
PAULISTAS (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
PEÇANHA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
PERIQUITO (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
PIEDADE DE CARATINGA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
RESPLENDOR (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SABINÓPOLIS (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SANTA BÁRBARA DO LESTE (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SANTA EFIGÊNIA DE MINAS (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SANTA MARIA DO SUAÇUÍ (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SANTA RITA DE MINAS (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SANTA RITA DO ITUETO (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SANTO ANTÔNIO DO ITAMBÉ (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SÃO DOMINGOS DAS DORES (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SÃO FÉLIX DE MINAS (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SÃO GERALDO DA PIEDADE (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SÃO GERALDO DO BAIXIO (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SÃO JOÃO DA MANTENINHA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SÃO JOÃO EVANGELISTA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SÃO JOSÉ DA SAFIRA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SÃO JOSÉ DO DIVINO (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SÃO JOSÉ DO JACURI (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SÃO PEDRO DO SUAÇUÍ (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SÃO SEBASTIÃO DO ANTA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SÃO SEBASTIÃO DO MARANHÃO (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SARDOÁ (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SENHORA DO PORTO (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SERRA AZUL DE MINAS (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
SOBRÁLIA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
TAPARUBA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
TARUMIRIM (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
TUMIRITINGA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
UBAPORANGA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
URUANA DE MINAS (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
MATHIAS LOBATO (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
VIRGINÓPOLIS (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
VIRGOLÂNDIA (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Águas Formosas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Águas Vermelhas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Almenara (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cachoeira de Pajeú (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Angelândia (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Araçuaí (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aricanduva (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Arinos (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ataléia (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bandeira (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Berilo (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bertópolis (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Berizal (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bocaiúva (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bonito de Minas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Botumirim (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Brasília de Minas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Buritizeiro (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Campanário (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Campo Azul (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Capelinha (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Capitão Enéas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caraí (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Carbonita (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Carlos Chagas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Catuji (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Catuti (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Chapada do Norte (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Chapada Gaúcha (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Claro dos Poções (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Comercinho (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cônego Marinho (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Coração de Jesus (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Coronel Murta (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Couto de Magalhães de Minas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Crisólita (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cristália (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Curral de Dentro (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Datas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Diamantina (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Divisa Alegre (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Divisópolis (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Engenheiro Navarro (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Espinosa (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Felício dos Santos (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Gonçalo do Rio Preto (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Felisburgo (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Formoso (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Francisco Badaró (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Francisco Dumont (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Francisco Sá (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Franciscópolis (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Frei Gaspar (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Fronteira dos Vales (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Fruta de Leite (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Gameleiras (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Glaucilândia (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Grão Mogol (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Guaraciama (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibiaí (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibiracatu (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Icaraí de Minas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Indaiabira (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itacambira (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itacarambi (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itaipé (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
